file	line	candidate	status	cover
blackmatrix-apple	31	USER-AGENT,fmflocatord*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	32	USER-AGENT,geod*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	33	USER-AGENT,locationd*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	34	USER-AGENT,passd*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	35	USER-AGENT,Music*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	36	USER-AGENT,AppleNews*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	37	USER-AGENT,AppleTV*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	38	USER-AGENT,com.apple.news*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	39	USER-AGENT,com.apple.trustd*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	40	USER-AGENT,com.apple.tv*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	41	IP-CIDR,139.178.128.0/18,no-resolve	F: registered space covered	139.178.128.0/17
blackmatrix-apple	42	IP-CIDR,144.178.0.0/19,no-resolve	F: registered space covered	144.178.0.0/18
blackmatrix-apple	43	IP-CIDR,144.178.36.0/22,no-resolve	F: registered space covered	144.178.0.0/18
blackmatrix-apple	44	IP-CIDR,144.178.48.0/20,no-resolve	F: registered space covered	144.178.0.0/18
blackmatrix-apple	45	IP-CIDR,17.0.0.0/8,no-resolve	F: registered space covered	17.0.0.0/8
blackmatrix-apple	46	IP-CIDR,192.35.50.0/24,no-resolve	F: registered space covered	192.35.50.0/24
blackmatrix-apple	47	IP-CIDR,198.183.17.0/24,no-resolve	F: registered space covered	198.183.17.0/24
blackmatrix-apple	48	IP-CIDR,205.180.175.0/24,no-resolve	F: 205.180.175.0/24 not Apple-confirmed; not added	
blackmatrix-apple	49	IP-CIDR,2403:300::/32,no-resolve	F: registered space covered	2403:300::/32
blackmatrix-apple	50	IP-CIDR,2620:149::/32,no-resolve	F: registered space covered	2620:149::/32
blackmatrix-apple	51	IP-CIDR,2a01:b740::/32,no-resolve	F: registered space covered	2a01:b740::/32
blackmatrix-apple	52	IP-CIDR,63.92.224.0/19,no-resolve	F: registered space covered	63.92.224.0/19
blackmatrix-apple	53	IP-CIDR,65.199.22.0/23,no-resolve	F: registered space covered	65.199.22.0/23
apple-domains	11	.100beatscheap.com	E: current ownership/use unverified; not added	
apple-domains	12	.12diasdepresentesdeitunes.com	E: current ownership/use unverified; not added	
apple-domains	13	.12diasderegalosdeitunes.cl	E: current ownership/use unverified; not added	
apple-domains	14	.12diasderegalosdeitunes.co	E: current ownership/use unverified; not added	
apple-domains	15	.12diasderegalosdeitunes.co.cr	E: current ownership/use unverified; not added	
apple-domains	16	.12diasderegalosdeitunes.co.ni	E: current ownership/use unverified; not added	
apple-domains	17	.12diasderegalosdeitunes.co.ve	E: current ownership/use unverified; not added	
apple-domains	18	.12diasderegalosdeitunes.com	E: current ownership/use unverified; not added	
apple-domains	19	.12diasderegalosdeitunes.com.co	E: current ownership/use unverified; not added	
apple-domains	20	.12diasderegalosdeitunes.com.hn	E: current ownership/use unverified; not added	
apple-domains	21	.12diasderegalosdeitunes.com.ni	E: current ownership/use unverified; not added	
apple-domains	22	.12diasderegalosdeitunes.com.ve	E: current ownership/use unverified; not added	
apple-domains	23	.12diasderegalosdeitunes.cr	E: current ownership/use unverified; not added	
apple-domains	24	.12diasderegalosdeitunes.gt	E: current ownership/use unverified; not added	
apple-domains	25	.12diasderegalosdeitunes.hn	E: current ownership/use unverified; not added	
apple-domains	26	.12diasderegalosdeitunes.pe	E: current ownership/use unverified; not added	
apple-domains	27	.12joursdecadeauxdeitunes.com	E: current ownership/use unverified; not added	
apple-domains	28	.1monsterbeatsbydreus.com	E: current ownership/use unverified; not added	
apple-domains	29	.1to1computing.com.au	E: current ownership/use unverified; not added	
apple-domains	30	.1to1conference.com.au	E: current ownership/use unverified; not added	
apple-domains	31	.2013beatsbydrdreonline.com	E: current ownership/use unverified; not added	
apple-domains	32	.2013beatsbydrdreshop.com	E: current ownership/use unverified; not added	
apple-domains	33	.2013beatsbydreshop.com	E: current ownership/use unverified; not added	
apple-domains	34	.2013beatshdcybermonday.com	E: current ownership/use unverified; not added	
apple-domains	35	.2013cheapestbeats.com	E: current ownership/use unverified; not added	
apple-domains	36	.2013newbeatsworld.com	E: current ownership/use unverified; not added	
apple-domains	37	.2013pascherbeatsbydre.com	E: current ownership/use unverified; not added	
apple-domains	38	.2014cheapbeatsbydre.com	E: current ownership/use unverified; not added	
apple-domains	39	.2beatsdre.com	E: current ownership/use unverified; not added	
apple-domains	40	.2buybeatsbydre.com	E: current ownership/use unverified; not added	
apple-domains	41	.2drdrebeats.com	E: current ownership/use unverified; not added	
apple-domains	42	.40shopping.com	E: current ownership/use unverified; not added	
apple-domains	43	.4beatsbydre.com	E: current ownership/use unverified; not added	
apple-domains	44	.5beatsbydre.com	E: current ownership/use unverified; not added	
apple-domains	45	.5lml.com	E: current ownership/use unverified; not added	
apple-domains	46	.a0pple.net	E: current ownership/use unverified; not added	
apple-domains	47	.aaagradeheadphones.com	E: current ownership/use unverified; not added	
apple-domains	48	.aanaan.com	E: current ownership/use unverified; not added	
apple-domains	49	.aapl.tw	E: current ownership/use unverified; not added	
apple-domains	50	.aaplimg.com	A: covered	DOMAIN-SUFFIX,aaplimg.com,DIRECT
apple-domains	51	.abcheadphones.com	E: current ownership/use unverified; not added	
apple-domains	52	.abeatsbydrdre.com	E: current ownership/use unverified; not added	
apple-domains	53	.aeasyshop.com	E: current ownership/use unverified; not added	
apple-domains	54	.airmay.com	E: current ownership/use unverified; not added	
apple-domains	55	.airport.brussels	E: current ownership/use unverified; not added	
apple-domains	56	.airport.com	E: current ownership/use unverified; not added	
apple-domains	57	.airport.eu	E: current ownership/use unverified; not added	
apple-domains	58	.airsupportapp.com	E: current ownership/use unverified; not added	
apple-domains	59	.airtunes.com	E: current ownership/use unverified; not added	
apple-domains	60	.airtunes.info	E: current ownership/use unverified; not added	
apple-domains	61	.airtunes.net	E: current ownership/use unverified; not added	
apple-domains	62	.ajtalk.com	E: current ownership/use unverified; not added	
apple-domains	63	.akadns.net	D: shared provider; no broad exception	
apple-domains	64	.albeats.com	E: current ownership/use unverified; not added	
apple-domains	65	.alchemysynth.com	E: current ownership/use unverified; not added	
apple-domains	66	.annstores.net	E: current ownership/use unverified; not added	
apple-domains	67	.aokwholesale.net	E: current ownership/use unverified; not added	
apple-domains	68	.ap0le.com	E: current ownership/use unverified; not added	
apple-domains	69	.aple.com	E: current ownership/use unverified; not added	
apple-domains	70	.aplestore.com	E: current ownership/use unverified; not added	
apple-domains	71	.aplleipods.com	E: current ownership/use unverified; not added	
apple-domains	72	.apole.com	E: current ownership/use unverified; not added	
apple-domains	73	.app-store.wang	E: current ownership/use unverified; not added	
apple-domains	74	.app0le.com	E: current ownership/use unverified; not added	
apple-domains	75	.appe-store.com	E: current ownership/use unverified; not added	
apple-domains	76	.appl-e.com	E: current ownership/use unverified; not added	
apple-domains	77	.appl.com	E: current ownership/use unverified; not added	
apple-domains	78	.appl4e.com	E: current ownership/use unverified; not added	
apple-domains	79	.appla.com	E: current ownership/use unverified; not added	
apple-domains	80	.appldnld.apple.com.edgesuite.net	E: current ownership/use unverified; not added	
apple-domains	81	.apple-appstore.cn	E: current ownership/use unverified; not added	
apple-domains	82	.apple-cloudkit.com	A: covered	DOMAIN-SUFFIX,apple-cloudkit.com,DIRECT
apple-domains	83	.apple-darwin.com	E: current ownership/use unverified; not added	
apple-domains	84	.apple-darwin.net	E: current ownership/use unverified; not added	
apple-domains	85	.apple-darwin.org	E: current ownership/use unverified; not added	
apple-domains	86	.apple-dns.cn	A: covered	DOMAIN-SUFFIX,apple-dns.cn,DIRECT
apple-domains	87	.apple-dns.com	A: covered	DOMAIN-SUFFIX,apple-dns.com,DIRECT
apple-domains	88	.apple-dns.com.cn	A: covered	DOMAIN-SUFFIX,apple-dns.com.cn,DIRECT
apple-domains	89	.apple-dns.net	A: covered	DOMAIN-SUFFIX,apple-dns.net,DIRECT
apple-domains	90	.apple-enews.com	E: current ownership/use unverified; not added	
apple-domains	91	.apple-expo.com	E: current ownership/use unverified; not added	
apple-domains	92	.apple-expo.eu	E: current ownership/use unverified; not added	
apple-domains	93	.apple-hk.com	E: current ownership/use unverified; not added	
apple-domains	94	.apple-ibooks.cn	E: current ownership/use unverified; not added	
apple-domains	95	.apple-icloud.cn	E: current ownership/use unverified; not added	
apple-domains	96	.apple-imac.com	E: current ownership/use unverified; not added	
apple-domains	97	.apple-inc.net	E: current ownership/use unverified; not added	
apple-domains	98	.apple-itunes.cn	E: current ownership/use unverified; not added	
apple-domains	99	.apple-livephotoskit.com	A: covered	DOMAIN-SUFFIX,apple-livephotoskit.com,DIRECT
apple-domains	100	.apple-mapkit.com	A: covered	DOMAIN-SUFFIX,apple-mapkit.com,DIRECT
apple-domains	101	.apple-maps.cn	E: current ownership/use unverified; not added	
apple-domains	102	.apple-online.com	E: current ownership/use unverified; not added	
apple-domains	103	.apple-pay.com	E: current ownership/use unverified; not added	
apple-domains	104	.apple-pay.rs	E: current ownership/use unverified; not added	
apple-domains	105	.apple-pay.wang	E: current ownership/use unverified; not added	
apple-domains	106	.apple-store.cn	E: current ownership/use unverified; not added	
apple-domains	107	.apple-store.net	E: current ownership/use unverified; not added	
apple-domains	108	.apple-store.wang	E: current ownership/use unverified; not added	
apple-domains	109	.apple-usa.net	E: current ownership/use unverified; not added	
apple-domains	110	.apple-watch.com.ru	E: current ownership/use unverified; not added	
apple-domains	111	.apple.ae	E: current ownership/use unverified; not added	
apple-domains	112	.apple.at	E: current ownership/use unverified; not added	
apple-domains	113	.apple.be	E: current ownership/use unverified; not added	
apple-domains	114	.apple.bg	E: current ownership/use unverified; not added	
apple-domains	115	.apple.bs	E: current ownership/use unverified; not added	
apple-domains	116	.apple.ca	E: current ownership/use unverified; not added	
apple-domains	117	.apple.ch	E: current ownership/use unverified; not added	
apple-domains	118	.apple.cl	E: current ownership/use unverified; not added	
apple-domains	119	.apple.cm	E: current ownership/use unverified; not added	
apple-domains	120	.apple.cn	E: current ownership/use unverified; not added	
apple-domains	121	.apple.co	A: covered	DOMAIN-SUFFIX,apple.co,DIRECT
apple-domains	122	.apple.co.cr	E: current ownership/use unverified; not added	
apple-domains	123	.apple.co.hu	E: current ownership/use unverified; not added	
apple-domains	124	.apple.co.jp	E: current ownership/use unverified; not added	
apple-domains	125	.apple.co.kr	E: current ownership/use unverified; not added	
apple-domains	126	.apple.co.mz	E: current ownership/use unverified; not added	
apple-domains	127	.apple.co.nz	E: current ownership/use unverified; not added	
apple-domains	128	.apple.co.th	E: current ownership/use unverified; not added	
apple-domains	129	.apple.co.uk	E: current ownership/use unverified; not added	
apple-domains	130	.apple.com	A: covered	DOMAIN-SUFFIX,apple.com,DIRECT
apple-domains	131	.apple.com.af	E: current ownership/use unverified; not added	
apple-domains	132	.apple.com.au	E: current ownership/use unverified; not added	
apple-domains	133	.apple.com.bo	E: current ownership/use unverified; not added	
apple-domains	134	.apple.com.br	E: current ownership/use unverified; not added	
apple-domains	135	.apple.com.cdn20.com	A: covered	DOMAIN-SUFFIX,apple.com.cdn20.com,DIRECT
apple-domains	136	.apple.com.cn	A: covered	DOMAIN-SUFFIX,apple.com.cn,DIRECT
apple-domains	137	.apple.com.co	E: current ownership/use unverified; not added	
apple-domains	138	.apple.com.de	E: current ownership/use unverified; not added	
apple-domains	139	.apple.com.do	E: current ownership/use unverified; not added	
apple-domains	140	.apple.com.gr	E: current ownership/use unverified; not added	
apple-domains	141	.apple.com.gy	E: current ownership/use unverified; not added	
apple-domains	142	.apple.com.jm	E: current ownership/use unverified; not added	
apple-domains	143	.apple.com.lk	E: current ownership/use unverified; not added	
apple-domains	144	.apple.com.mg	E: current ownership/use unverified; not added	
apple-domains	145	.apple.com.mwcloudcdn.com	E: current ownership/use unverified; not added	
apple-domains	146	.apple.com.mwcname.com	E: current ownership/use unverified; not added	
apple-domains	147	.apple.com.mx	E: current ownership/use unverified; not added	
apple-domains	148	.apple.com.my	E: current ownership/use unverified; not added	
apple-domains	149	.apple.com.pa	E: current ownership/use unverified; not added	
apple-domains	150	.apple.com.pe	E: current ownership/use unverified; not added	
apple-domains	151	.apple.com.pl	E: current ownership/use unverified; not added	
apple-domains	152	.apple.com.pr	E: current ownership/use unverified; not added	
apple-domains	153	.apple.com.pt	E: current ownership/use unverified; not added	
apple-domains	154	.apple.com.py	E: current ownership/use unverified; not added	
apple-domains	155	.apple.com.sg	E: current ownership/use unverified; not added	
apple-domains	156	.apple.com.sv	E: current ownership/use unverified; not added	
apple-domains	157	.apple.com.tr	E: current ownership/use unverified; not added	
apple-domains	158	.apple.com.tw	E: current ownership/use unverified; not added	
apple-domains	159	.apple.com.uy	E: current ownership/use unverified; not added	
apple-domains	160	.apple.comscoreresearch.com	E: current ownership/use unverified; not added	
apple-domains	161	.apple.cz	E: current ownership/use unverified; not added	
apple-domains	162	.apple.de	E: current ownership/use unverified; not added	
apple-domains	163	.apple.dk	E: current ownership/use unverified; not added	
apple-domains	164	.apple.ee	E: current ownership/use unverified; not added	
apple-domains	165	.apple.es	E: current ownership/use unverified; not added	
apple-domains	166	.apple.eu	E: current ownership/use unverified; not added	
apple-domains	167	.apple.fi	E: current ownership/use unverified; not added	
apple-domains	168	.apple.fr	E: current ownership/use unverified; not added	
apple-domains	169	.apple.hamburg	E: current ownership/use unverified; not added	
apple-domains	170	.apple.hn	E: current ownership/use unverified; not added	
apple-domains	171	.apple.hr	E: current ownership/use unverified; not added	
apple-domains	172	.apple.hu	E: current ownership/use unverified; not added	
apple-domains	173	.apple.ie	E: current ownership/use unverified; not added	
apple-domains	174	.apple.in	E: current ownership/use unverified; not added	
apple-domains	175	.apple.is	E: current ownership/use unverified; not added	
apple-domains	176	.apple.it	E: current ownership/use unverified; not added	
apple-domains	177	.apple.jo	E: current ownership/use unverified; not added	
apple-domains	178	.apple.jp	E: current ownership/use unverified; not added	
apple-domains	179	.apple.kr	E: current ownership/use unverified; not added	
apple-domains	180	.apple.lk	E: current ownership/use unverified; not added	
apple-domains	181	.apple.lt	E: current ownership/use unverified; not added	
apple-domains	182	.apple.lv	E: current ownership/use unverified; not added	
apple-domains	183	.apple.me	E: current ownership/use unverified; not added	
apple-domains	184	.apple.my	E: current ownership/use unverified; not added	
apple-domains	185	.apple.net	E: current ownership/use unverified; not added	
apple-domains	186	.apple.net.gr	E: current ownership/use unverified; not added	
apple-domains	187	.apple.news	A: covered	DOMAIN-SUFFIX,apple.news,DIRECT
apple-domains	188	.apple.nl	E: current ownership/use unverified; not added	
apple-domains	189	.apple.no	E: current ownership/use unverified; not added	
apple-domains	190	.apple.pk	E: current ownership/use unverified; not added	
apple-domains	191	.apple.pl	E: current ownership/use unverified; not added	
apple-domains	192	.apple.pt	E: current ownership/use unverified; not added	
apple-domains	193	.apple.ro	E: current ownership/use unverified; not added	
apple-domains	194	.apple.rs	E: current ownership/use unverified; not added	
apple-domains	195	.apple.ru	E: current ownership/use unverified; not added	
apple-domains	196	.apple.sa	E: current ownership/use unverified; not added	
apple-domains	197	.apple.se	E: current ownership/use unverified; not added	
apple-domains	198	.apple.sg	E: current ownership/use unverified; not added	
apple-domains	199	.apple.si	E: current ownership/use unverified; not added	
apple-domains	200	.apple.sk	E: current ownership/use unverified; not added	
apple-domains	201	.apple.so	E: current ownership/use unverified; not added	
apple-domains	202	.apple.tt	E: current ownership/use unverified; not added	
apple-domains	203	.apple.tw	E: current ownership/use unverified; not added	
apple-domains	204	.apple.uk	E: current ownership/use unverified; not added	
apple-domains	205	.apple.us	E: current ownership/use unverified; not added	
apple-domains	206	.apple.xn--czr694b	E: current ownership/use unverified; not added	
apple-domains	207	.apple.xn--fiqs8s	E: current ownership/use unverified; not added	
apple-domains	208	.apple.xyz	E: current ownership/use unverified; not added	
apple-domains	209	.appleaccount.net	E: current ownership/use unverified; not added	
apple-domains	210	.appleafrica.com	E: current ownership/use unverified; not added	
apple-domains	211	.appleantilles.com	E: current ownership/use unverified; not added	
apple-domains	212	.appleappstore.cn	E: current ownership/use unverified; not added	
apple-domains	213	.appleappstore.net	E: current ownership/use unverified; not added	
apple-domains	214	.appleappstore.tv	E: current ownership/use unverified; not added	
apple-domains	215	.appleaustralia.com	E: current ownership/use unverified; not added	
apple-domains	216	.appleaustralia.com.au	E: current ownership/use unverified; not added	
apple-domains	217	.appleaustralia.net.au	E: current ownership/use unverified; not added	
apple-domains	218	.applebk.net	E: current ownership/use unverified; not added	
apple-domains	219	.applecarbon.com	E: current ownership/use unverified; not added	
apple-domains	220	.applecard.tv	E: current ownership/use unverified; not added	
apple-domains	221	.applecare.berlin	E: current ownership/use unverified; not added	
apple-domains	222	.applecare.cc	E: current ownership/use unverified; not added	
apple-domains	223	.applecare.eu	E: current ownership/use unverified; not added	
apple-domains	224	.applecare.hamburg	E: current ownership/use unverified; not added	
apple-domains	225	.applecare.wang	E: current ownership/use unverified; not added	
apple-domains	226	.applecentar.co.rs	E: current ownership/use unverified; not added	
apple-domains	227	.applecentar.rs	E: current ownership/use unverified; not added	
apple-domains	228	.applecenter.cn	E: current ownership/use unverified; not added	
apple-domains	229	.applecenter.com.cn	E: current ownership/use unverified; not added	
apple-domains	230	.applecentre.com.au	E: current ownership/use unverified; not added	
apple-domains	231	.applecentre.info	E: current ownership/use unverified; not added	
apple-domains	232	.appleclassicipod.com	E: current ownership/use unverified; not added	
apple-domains	233	.appleclub.com.hk	E: current ownership/use unverified; not added	
apple-domains	234	.applecom.com	E: current ownership/use unverified; not added	
apple-domains	235	.applecomputer-imac.com	E: current ownership/use unverified; not added	
apple-domains	236	.applecomputer.cn	E: current ownership/use unverified; not added	
apple-domains	237	.applecomputer.co.in	E: current ownership/use unverified; not added	
apple-domains	238	.applecomputer.co.nz	E: current ownership/use unverified; not added	
apple-domains	239	.applecomputer.com	E: current ownership/use unverified; not added	
apple-domains	240	.applecomputer.com.cn	E: current ownership/use unverified; not added	
apple-domains	241	.applecomputer.com.hk	E: current ownership/use unverified; not added	
apple-domains	242	.applecomputer.com.tw	E: current ownership/use unverified; not added	
apple-domains	243	.applecomputer.hu	E: current ownership/use unverified; not added	
apple-domains	244	.applecomputer.kr	E: current ownership/use unverified; not added	
apple-domains	245	.applecomputerimac.com	E: current ownership/use unverified; not added	
apple-domains	246	.applecomputerinc.info	E: current ownership/use unverified; not added	
apple-domains	247	.applecomputers.co.nz	E: current ownership/use unverified; not added	
apple-domains	248	.applecoronavirus.com	E: current ownership/use unverified; not added	
apple-domains	249	.appledarwin.com	E: current ownership/use unverified; not added	
apple-domains	250	.appledarwin.net	E: current ownership/use unverified; not added	
apple-domains	251	.appledns.cn	E: current ownership/use unverified; not added	
apple-domains	252	.appledns.com.cn	E: current ownership/use unverified; not added	
apple-domains	253	.appleenews.com	E: current ownership/use unverified; not added	
apple-domains	254	.appleexpo.eu	E: current ownership/use unverified; not added	
apple-domains	255	.appleexpo.info	E: current ownership/use unverified; not added	
apple-domains	256	.applefilmaker.com	E: current ownership/use unverified; not added	
apple-domains	257	.applefilmmaker.com	E: current ownership/use unverified; not added	
apple-domains	258	.applefinalcutproworld.com	E: current ownership/use unverified; not added	
apple-domains	259	.applefinalcutproworld.net	E: current ownership/use unverified; not added	
apple-domains	260	.applefinalcutproworld.org	E: current ownership/use unverified; not added	
apple-domains	261	.applehongkong.com	E: current ownership/use unverified; not added	
apple-domains	262	.applehongkong.com.hk	E: current ownership/use unverified; not added	
apple-domains	263	.appleicloud.cn	E: current ownership/use unverified; not added	
apple-domains	264	.appleid-applemx.com	E: current ownership/use unverified; not added	
apple-domains	265	.appleid-applemx.us	E: current ownership/use unverified; not added	
apple-domains	266	.appleid-iclou.com	E: current ownership/use unverified; not added	
apple-domains	267	.appleid-uk.us	E: current ownership/use unverified; not added	
apple-domains	268	.appleid.berlin	E: current ownership/use unverified; not added	
apple-domains	269	.appleid.com	E: current ownership/use unverified; not added	
apple-domains	270	.appleid.hamburg	E: current ownership/use unverified; not added	
apple-domains	271	.appleid.hk	E: current ownership/use unverified; not added	
apple-domains	272	.appleimac.com	E: current ownership/use unverified; not added	
apple-domains	273	.appleinclegal.com	E: current ownership/use unverified; not added	
apple-domains	274	.appleiphone.hu	E: current ownership/use unverified; not added	
apple-domains	275	.appleiphone.net	E: current ownership/use unverified; not added	
apple-domains	276	.appleiphonecell.com	E: current ownership/use unverified; not added	
apple-domains	277	.appleipodsettlement.com	E: current ownership/use unverified; not added	
apple-domains	278	.appleiservices.com	E: current ownership/use unverified; not added	
apple-domains	279	.applelink.com	E: current ownership/use unverified; not added	
apple-domains	280	.applemagickeyboard.com	E: current ownership/use unverified; not added	
apple-domains	281	.applemalaysia.com.my	E: current ownership/use unverified; not added	
apple-domains	282	.applemasters.info	E: current ownership/use unverified; not added	
apple-domains	283	.applemusic.berlin	E: current ownership/use unverified; not added	
apple-domains	284	.applemusic.co	E: current ownership/use unverified; not added	
apple-domains	285	.applemusic.com	A: covered	DOMAIN-SUFFIX,applemusic.com,DIRECT
apple-domains	286	.applemusic.com.au	E: current ownership/use unverified; not added	
apple-domains	287	.applemusic.hamburg	E: current ownership/use unverified; not added	
apple-domains	288	.applemusic.wang	E: current ownership/use unverified; not added	
apple-domains	289	.applemusicconnect.com	E: current ownership/use unverified; not added	
apple-domains	290	.applemusicfestival.com	E: current ownership/use unverified; not added	
apple-domains	291	.applemx-icloud.com	E: current ownership/use unverified; not added	
apple-domains	292	.applenews.berlin	E: current ownership/use unverified; not added	
apple-domains	293	.applenews.hamburg	E: current ownership/use unverified; not added	
apple-domains	294	.applenews.tv	E: current ownership/use unverified; not added	
apple-domains	295	.applenewsformat.com	E: current ownership/use unverified; not added	
apple-domains	296	.appleone.audio	E: current ownership/use unverified; not added	
apple-domains	297	.appleone.blog	E: current ownership/use unverified; not added	
apple-domains	298	.appleone.chat	E: current ownership/use unverified; not added	
apple-domains	299	.appleone.cloud	E: current ownership/use unverified; not added	
apple-domains	300	.appleone.club	E: current ownership/use unverified; not added	
apple-domains	301	.appleone.community	E: current ownership/use unverified; not added	
apple-domains	302	.appleone.film	E: current ownership/use unverified; not added	
apple-domains	303	.appleone.guide	E: current ownership/use unverified; not added	
apple-domains	304	.appleone.host	E: current ownership/use unverified; not added	
apple-domains	305	.appleone.space	E: current ownership/use unverified; not added	
apple-domains	306	.appleone.tech	E: current ownership/use unverified; not added	
apple-domains	307	.appleone.website	E: current ownership/use unverified; not added	
apple-domains	308	.appleonline.com	E: current ownership/use unverified; not added	
apple-domains	309	.appleonline.net	E: current ownership/use unverified; not added	
apple-domains	310	.appleoriginalproductions.com	E: current ownership/use unverified; not added	
apple-domains	311	.appleos.tv	E: current ownership/use unverified; not added	
apple-domains	312	.applepay.berlin	E: current ownership/use unverified; not added	
apple-domains	313	.applepay.co.rs	E: current ownership/use unverified; not added	
apple-domains	314	.applepay.com.tw	E: current ownership/use unverified; not added	
apple-domains	315	.applepay.hamburg	E: current ownership/use unverified; not added	
apple-domains	316	.applepay.hk	E: current ownership/use unverified; not added	
apple-domains	317	.applepay.info	E: current ownership/use unverified; not added	
apple-domains	318	.applepay.jp	E: current ownership/use unverified; not added	
apple-domains	319	.applepay.rs	E: current ownership/use unverified; not added	
apple-domains	320	.applepay.tv	E: current ownership/use unverified; not added	
apple-domains	321	.applepaycash.cn	E: current ownership/use unverified; not added	
apple-domains	322	.applepaycash.com.cn	E: current ownership/use unverified; not added	
apple-domains	323	.applepaycash.net	E: current ownership/use unverified; not added	
apple-domains	324	.applepaycash.tv	E: current ownership/use unverified; not added	
apple-domains	325	.applepaymerchantsupplies.info	E: current ownership/use unverified; not added	
apple-domains	326	.applepaysupplies.berlin	E: current ownership/use unverified; not added	
apple-domains	327	.applepaysupplies.cn	E: current ownership/use unverified; not added	
apple-domains	328	.applepaysupplies.com	E: current ownership/use unverified; not added	
apple-domains	329	.applepaysupplies.com.cn	E: current ownership/use unverified; not added	
apple-domains	330	.applepaysupplies.info	E: current ownership/use unverified; not added	
apple-domains	331	.applepaysupplies.net	E: current ownership/use unverified; not added	
apple-domains	332	.applepaysupplies.tv	E: current ownership/use unverified; not added	
apple-domains	333	.applepencil.net	E: current ownership/use unverified; not added	
apple-domains	334	.applepodcasts.com	E: current ownership/use unverified; not added	
apple-domains	335	.applepremiumreseller.com.au	E: current ownership/use unverified; not added	
apple-domains	336	.applepremiumresellers.com.au	E: current ownership/use unverified; not added	
apple-domains	337	.applereach.com	E: current ownership/use unverified; not added	
apple-domains	338	.applereach.net	E: current ownership/use unverified; not added	
apple-domains	339	.apples-msk.ru	E: current ownership/use unverified; not added	
apple-domains	340	.appleschoolcontent.com	A: covered	DOMAIN-SUFFIX,appleschoolcontent.com,DIRECT
apple-domains	341	.applescreensavers.com	E: current ownership/use unverified; not added	
apple-domains	342	.applescript.info	E: current ownership/use unverified; not added	
apple-domains	343	.appleshare.info	E: current ownership/use unverified; not added	
apple-domains	344	.appleshop.co.uk	E: current ownership/use unverified; not added	
apple-domains	345	.applesiri.cn	E: current ownership/use unverified; not added	
apple-domains	346	.applestor.com	E: current ownership/use unverified; not added	
apple-domains	347	.applestore.bg	E: current ownership/use unverified; not added	
apple-domains	348	.applestore.cc	E: current ownership/use unverified; not added	
apple-domains	349	.applestore.ch	E: current ownership/use unverified; not added	
